provider_name;provider_product_id;product;additional_cover;combine_of_additionals;own_risk;breed;breed_connection;weight;gender;0;1;2;3;4;5;6;7;8;9;10;11;12;13
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;;;;;nee;> 50;reu;82.86;88.05;88.05;99.51;99.51;99.51;99.51;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;;;;;nee;> 50;teef;82.86;88.05;88.05;99.51;99.51;99.51;99.51;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Chemo-radiotherapie;;;;nee;< 5;reu;8.41;11.54;11.54;15.02;15.02;15.02;15.02;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Chemo-radiotherapie;;;;nee;< 5;teef;8.41;11.54;11.54;15.02;15.02;15.02;15.02;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Chemo-radiotherapie;;;;nee;6 - 20;reu;9.33;12.29;12.29;15.75;15.75;15.75;15.75;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Chemo-radiotherapie;;;;nee;6 - 20;teef;9.33;12.29;12.29;15.75;15.75;15.75;15.75;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Chemo-radiotherapie;;;;nee;21 - 35;reu;10.15;13.20;13.20;18.16;18.16;18.16;18.16;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Chemo-radiotherapie;;;;nee;21 - 35;teef;10.15;13.20;13.20;18.16;18.16;18.16;18.16;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Chemo-radiotherapie;;;;nee;36 - 49;reu;12.33;15.08;15.08;18.78;18.78;18.78;18.78;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Chemo-radiotherapie;;;;nee;36 - 49;teef;12.33;15.08;15.08;18.78;18.78;18.78;18.78;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Chemo-radiotherapie;;;;nee;> 50;reu;16.76;19.15;19.15;23.04;23.04;23.04;23.04;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Chemo-radiotherapie;;;;nee;> 50;teef;16.76;19.15;19.15;23.04;23.04;23.04;23.04;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Doorlopende reisverzekering;;;;nee;< 5;reu;3.98;3.98;3.98;3.98;3.98;3.98;3.98;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Doorlopende reisverzekering;;;;nee;< 5;teef;3.98;3.98;3.98;3.98;3.98;3.98;3.98;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Doorlopende reisverzekering;;;;nee;6 - 20;reu;3.98;3.98;3.98;3.98;3.98;3.98;3.98;;;;;;;
PetPlan;"PetPlan incl € 250,- e.r.";TOTAAL;Doorlopende reisverzekering;;;;nee;6 - 20;teef;3.98;3.98;3.98;3.98;3.98;3.98;3.98;;;;;;;
